uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,seeAlso
conceptscheme:chemischeanalysemethodeontsluiting,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.chemischeanalysemethodeontsluiting,,,Codelijst chemischeanalysemethodeontsluiting.,,,,,,,Beschrijving ....,,,,,,,,,,,,,,
collection:chemischeanalysemethodeontsluitingen,be.vlaanderen.bodemenondergrond.data.id.collection.chemischeanalysemethodeontsluiting.chemischeanalysemethodeontsluitingen,,,Collectie van chemischeanalysemethodeontsluitingen.,,,,,,,,,,,,,conceptscheme:chemischeanalysemethodeontsluiting,,,,,,,
concept:0,be.vlaanderen.bodemenondergrond.data.id.concept.chemischeanalysemethodeontsluiting.0,collection:chemischeanalysemethodeontsluitingen,,Onbekend,,,,,,,,,,,,,conceptscheme:chemischeanalysemethodeontsluiting,,,,,,,conceptscheme:chemischeanalysemethodeontsluiting
concept:1,be.vlaanderen.bodemenondergrond.data.id.concept.chemischeanalysemethodeontsluiting.1,collection:chemischeanalysemethodeontsluitingen,,Koningswater,,,,,,,,,,,,,conceptscheme:chemischeanalysemethodeontsluiting,,,,,,,conceptscheme:chemischeanalysemethodeontsluiting
